bit_manufacturer,bit_model,bit_diameters,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,total_runs,sources
Baker Hughes,D405VTWS,6.75,5,13,high,Baker:D405VTWS->C40B5(frac),32,full_bit_scan
Baker Hughes,LC406,6.75,6,13,high,Baker:LC406->C40B6(frac),32,full_bit_scan
Halliburton,HD75,10.625; 7.875; 8.5; 8.75,7,15,high,"HAL:HD75->B7,C5(frac)",32,full_bit_scan
NOV,TK63-U2,6.140158; 6.141732,6,13,high,"NOV-TK:TK63-U2->B6,C3",32,full_bit_scan
Baker Hughes,D506TH,8.740158,6,15,high,Baker:D506TH->C50B6(frac),31,full_bit_scan
NOV,TK63-G1D,8.75,6,13,high,"NOV-TK:TK63-G1D->B6,C3",31,full_bit_scan
NOV,TKF66-AK1,9.875,6,16,high,"NOV-TK:TKF66-AK1->B6,C6",31,full_bit_scan
Baker Hughes,D506TWSX,8.75,6,15,high,Baker:D506TWSX->C50B6(frac),30,full_bit_scan
Baker Hughes,DD306TS,6.75; 8.75,6,8,high,Baker:DD306TS->C30B6(frac),30,full_bit_scan
Baker Hughes,P405WH,6,5,13,high,Baker:P405WH->C40B5(frac),30,full_bit_scan
NOV,TKF66-AT3,8.75,6,16,high,"NOV-TK:TKF66-AT3->B6,C6",30,full_bit_scan
NOV,TKF66-BE1,8.75,6,16,high,"NOV-TK:TKF66-BE1->B6,C6",30,full_bit_scan
Schlumberger,BXTZ616,10.625; 12.25; 7.875; 8.5; 8.75,6,16,high,"SLB-Z:BXTZ616->B6,16mm",30,full_bit_scan
Halliburton,HX64s,6.25; 6.259843; 6.889764; 6.890158; 8.75,6,13,high,"HAL:HX64s->B6,C4(frac)",29,full_bit_scan
NOV,TK63-G5,8.75,6,13,high,"NOV-TK:TK63-G5->B6,C3",29,full_bit_scan
NOV,TKC76,10.625; 12.25; 14.5; 14.75; 16; 17.5; 17.500001; 18.5; 8.5; 8.75,7,16,high,"NOV-TK:TKC76->B7,C6",29,full_bit_scan
NOV,TKF66-AB4,9.875,6,16,high,"NOV-TK:TKF66-AB4->B6,C6",29,full_bit_scan
Schlumberger,BT616,12.25; 17.5; 8.740158,6,16,high,"SLB-BT:BT616->B6,16mm",29,full_bit_scan
Taurex,TXd611,6.75; 7.875; 8.5; 8.75,6,11,high,"TX:TXd611->B6,11mm",29,full_bit_scan
Varel,VION-516,11; 9.875,5,16,high,"Varel:VION-516->B5,16mm",29,full_bit_scan
NOV,TK63-AK2,6.125,6,13,high,"NOV-TK:TK63-AK2->B6,C3",28,full_bit_scan
NOV,TKF66-F3,10.625,6,16,high,"NOV-TK:TKF66-F3->B6,C6",28,full_bit_scan
Schlumberger,BT516,6.140158; 6.5; 8.75,5,16,high,"SLB-BT:BT516->B5,16mm",28,full_bit_scan
Baker Hughes,D506TWX,12.25; 8.5; 8.75,6,15,high,Baker:D506TWX->C50B6(frac),27,full_bit_scan
Baker Hughes,DD507VX,10.625; 12.25,7,15,high,Baker:DD507VX->C50B7(frac),27,full_bit_scan
Baker Hughes,P407,10.625; 12.25; 8.75,7,13,high,Baker:P407->C40B7(frac),27,full_bit_scan
NOV,TKC53,6; 6.125; 6.75,5,13,high,"NOV-TK:TKC53->B5,C3",27,full_bit_scan
Taurex,TXt813,10.625; 9.625; 9.875,8,13,high,"TX:TXt813->B8,13mm",27,full_bit_scan
Baker Hughes,D306TS,6.75; 8.75,6,8,high,Baker:D306TS->C30B6(frac),26,full_bit_scan
Halliburton,HD64K,12.25; 6.125; 6.75; 8.5; 8.75,6,13,high,"HAL:HD64K->B6,C4(frac)",26,full_bit_scan
Schlumberger,BXT616,12.25; 13.5; 8.75; 9.875,6,16,high,"SLB-BT:BXT616->B6,16mm",26,full_bit_scan
Schlumberger,DXT616S,10.625; 8.75; 9.875,6,16,high,"SLB-BT:DXT616S->B6,16mm",26,full_bit_scan
Baker Hughes,P405,6.125; 6.259843; 6.75,5,13,high,Baker:P405->C40B5(frac),25,full_bit_scan
Halliburton,HDi64k,12.25; 6.125; 6.75,6,13,high,"HAL:HDi64k->B6,C4(frac)",25,full_bit_scan
NOV,TK53-O6,6.732284; 6.75,5,13,high,"NOV-TK:TK53-O6->B5,C3",25,full_bit_scan
NOV,TK63-G3,8.5; 8.75,6,13,high,"NOV-TK:TK63-G3->B6,C3",25,full_bit_scan
NOV,TKF66-BP6,8.75,6,16,high,"NOV-TK:TKF66-BP6->B6,C6",25,full_bit_scan
NOV,TKF66-X5,7.875; 9.875,6,16,high,"NOV-TK:TKF66-X5->B6,C6",25,full_bit_scan
Taurex,TXD613,6.75; 7.875; 7.88; 8.5; 8.75,6,13,high,"TX:TXD613->B6,13mm",25,full_bit_scan
Taurex,TXd614,7.875; 8.5,6,14,high,"TX:TXd614->B6,14mm",25,full_bit_scan
Ulterra,RPS611,6.75,6,11,high,"Ulterra:RPS611->B6,11mm",25,full_bit_scan
Ulterra,U616s,12.25; 13.5; 17.5; 8.740158; 8.75; 9.875,6,16,high,"Ulterra-U:U616s->B6,16mm",25,full_bit_scan
Ulterra,U716M,7.875; 8.5; 9.875,7,16,high,"Ulterra-U:U716M->B7,16mm",25,full_bit_scan
Varel,Vion-516,9.875; 9.88,5,16,high,"Varel:Vion-516->B5,16mm",25,full_bit_scan
Baker Hughes,D507VTX,12.25; 8.740158,7,15,high,Baker:D507VTX->C50B7(frac),24,full_bit_scan
Baker Hughes,DD306WHX,6.125; 6.75; 7.875; 8.75,6,8,high,Baker:DD306WHX->C30B6(frac),24,full_bit_scan
Baker Hughes,DD406VTWH,6.75,6,13,high,Baker:DD406VTWH->C40B6(frac),24,full_bit_scan
Baker Hughes,DD406VTWX,6.75,6,13,high,Baker:DD406VTWX->C40B6(frac),24,full_bit_scan
Halliburton,HXi64MKs,6.75; 8.5; 8.75,6,13,high,"HAL:HXi64MKs->B6,C4(frac)",24,full_bit_scan
NOV,TKC63-H1,6.25; 6.259843; 6.732284; 6.75,6,13,high,"NOV-TK:TKC63-H1->B6,C3",24,full_bit_scan
NOV,TKC66-T2,12.25,6,16,high,"NOV-TK:TKC66-T2->B6,C6",24,full_bit_scan
NOV,TKF66-AE15,12.25,6,16,high,"NOV-TK:TKF66-AE15->B6,C6",24,full_bit_scan
NOV,TKF76-T1,8.75,7,16,high,"NOV-TK:TKF76-T1->B7,C6",24,full_bit_scan
Schlumberger,BT613SM,12.25; 8.5; 8.75,6,13,high,"SLB-BT:BT613SM->B6,13mm",24,full_bit_scan
Ulterra,CF519,10.984252; 11; 12.244095,5,19,high,"Ulterra-CF:CF519->B5,19mm",24,full_bit_scan
Baker Hughes,D506TX,12.25; 8.5; 8.740158; 8.75,6,15,high,Baker:D506TX->C50B6(frac),23,full_bit_scan
Baker Hughes,LC-405TS,6.75,5,13,high,Baker:LC-405TS->C40B5(frac),23,full_bit_scan
Baker Hughes,LC-D306TS,6.75,6,8,high,Baker:LC-D306TS->C30B6(frac),23,full_bit_scan
NOV,TKC73,6; 6.75; 8.5; 8.75,7,13,high,"NOV-TK:TKC73->B7,C3",23,full_bit_scan
NOV,TKF66-AD3,12.25,6,16,high,"NOV-TK:TKF66-AD3->B6,C6",23,full_bit_scan
Schlumberger,BT516M-1B,9.875,5,16,high,"SLB-BT:BT516M-1B->B5,16mm",23,full_bit_scan
Taurex,TSd616,12.25; 8.5; 8.75,6,16,high,"TX:TSd616->B6,16mm",23,full_bit_scan
Baker Hughes,D507VTHX,7.875; 8.75,7,15,high,Baker:D507VTHX->C50B7(frac),22,full_bit_scan
Halliburton,HD75s,10.625; 12.25; 17.5; 8.75; 9.875,7,15,high,"HAL:HD75s->B7,C5(frac)",22,full_bit_scan
NOV,RH54-A1,6; 6.259843,5,13,high,"HAL:RH54-A1->B5,C4(frac)",22,full_bit_scan
NOV,TK53-O5,6.729921; 6.732284,5,13,high,"NOV-TK:TK53-O5->B5,C3",22,full_bit_scan
NOV,TKF66-AZ10,8.75,6,16,high,"NOV-TK:TKF66-AZ10->B6,C6",22,full_bit_scan
Schlumberger,BT816SM,17.5; 17.500001,8,16,high,"SLB-BT:BT816SM->B8,16mm",22,full_bit_scan
Schlumberger,BXTZ616M,10.625; 11; 12.25; 8.75; 9.875,6,16,high,"SLB-Z:BXTZ616M->B6,16mm",22,full_bit_scan
Ulterra,XP513,6.75; 7.875,5,13,high,"XP:XP513->B5,13mm",22,full_bit_scan
Baker Hughes,DD506THX,8.5; 8.75,6,15,high,Baker:DD506THX->C50B6(frac),21,full_bit_scan
Baker Hughes,DD506TWX,12.25; 8.5; 8.75,6,15,high,Baker:DD506TWX->C50B6(frac),21,full_bit_scan
Baker Hughes,P306s,6.75; 8.5,6,8,high,Baker:P306s->C30B6(frac),21,full_bit_scan
Drilformance,611,6.75,6,11,high,"bare-3dig:611->B6,11mm",21,full_bit_scan
Halliburton,HD54,6.25; 6.259843; 6.5; 6.75,5,13,high,"HAL:HD54->B5,C4(frac)",21,full_bit_scan
Halliburton,HD65Ks,12.25; 13.5,6,15,high,"HAL:HD65Ks->B6,C5(frac)",21,full_bit_scan
Halliburton,HD65M,8.5; 8.503937; 8.740158,6,15,high,"HAL:HD65M->B6,C5(frac)",21,full_bit_scan
Halliburton,HD65S,12.25; 8.5; 8.740158; 8.75,6,15,high,"HAL:HD65S->B6,C5(frac)",21,full_bit_scan
NOV,TK63-N1,6.259843; 7.875; 7.88,6,13,high,"NOV-TK:TK63-N1->B6,C3",21,full_bit_scan
NOV,TK76,10.625; 12.25; 17.5; 7.875; 8.5,7,16,high,"NOV-TK:TK76->B7,C6",21,full_bit_scan
NOV,TKC63-C1,12.25; 6.874016; 6.889764; 6.890158; 9.875,6,13,high,"NOV-TK:TKC63-C1->B6,C3",21,full_bit_scan
NOV,TKF63-N6,7.875,6,13,high,"NOV-TK:TKF63-N6->B6,C3",21,full_bit_scan
Reed,TKF63-N3,7.875; 7.88,6,13,high,"NOV-TK:TKF63-N3->B6,C3",21,full_bit_scan
Ulterra,WAV613,6.124803; 6.129921; 6.140158; 6.141732; 6.259843; 6.732284; 8.75,6,13,high,"Ulterra-CF:WAV613->B6,13mm",21,full_bit_scan
Baker Hughes,D405S,6.125; 6.259843; 6.75; 7.875,5,13,high,Baker:D405S->C40B5(frac),20,full_bit_scan
Baker Hughes,D504VS,6.125,4,15,high,Baker:D504VS->C50B4(frac),20,full_bit_scan
Baker Hughes,D507THX,8.5; 8.740158; 8.75,7,15,high,Baker:D507THX->C50B7(frac),20,full_bit_scan
Halliburton,HDi55DMKFs,8.5,5,15,high,"HAL:HDi55DMKFs->B5,C5(frac)",20,full_bit_scan
NOV,TK63-B1,6.259843,6,13,high,"NOV-TK:TK63-B1->B6,C3",20,full_bit_scan
NOV,TKC66 AI1,9.875,6,16,high,"NOV-TK:TKC66 AI1->B6,C6",20,full_bit_scan
NOV,TKC66-AZ11,8.75,6,16,high,"NOV-TK:TKC66-AZ11->B6,C6",20,full_bit_scan
NOV,TKC66-AZ12,8.75,6,16,high,"NOV-TK:TKC66-AZ12->B6,C6",20,full_bit_scan
NOV,TKF66-R1,12.25,6,16,high,"NOV-TK:TKF66-R1->B6,C6",20,full_bit_scan
Schlumberger,BVXZ613,6.259843; 6.73189; 6.732284; 6.75,6,13,high,"SLB-Z:BVXZ613->B6,13mm",20,full_bit_scan
Schlumberger,HTZ613M,6.75,6,13,high,"SLB-Z:HTZ613M->B6,13mm",20,full_bit_scan
Baker Hughes,P406WH,6.729921; 6.75; 7.874016; 7.875; 8.75,6,13,high,Baker:P406WH->C40B6(frac),19,full_bit_scan
Baker Hughes,TD306KS,8.75,6,8,high,Baker:TD306KS->C30B6(frac),19,full_bit_scan
Halliburton,GTD54MK,6.75; 6.751969,5,13,high,"HAL-GTD:GTD54MK->B5,C4(frac)",19,full_bit_scan
Halliburton,HD64E,6.75; 7.875; 8.5; 8.75,6,13,high,"HAL:HD64E->B6,C4(frac)",19,full_bit_scan
NOV,TK63-J1,8.5; 8.75,6,13,high,"NOV-TK:TK63-J1->B6,C3",19,full_bit_scan
NOV,TKC53-AD1,6.73; 6.732284,5,13,high,"NOV-TK:TKC53-AD1->B5,C3",19,full_bit_scan
NOV,TKC63 X1,6,6,13,high,"NOV-TK:TKC63 X1->B6,C3",19,full_bit_scan
NOV,TKC66-AE13,12.25,6,16,high,"NOV-TK:TKC66-AE13->B6,C6",19,full_bit_scan
NOV,TKC66-BC2,8.75,6,16,high,"NOV-TK:TKC66-BC2->B6,C6",19,full_bit_scan
NOV,TKC66-F3,10.625,6,16,high,"NOV-TK:TKC66-F3->B6,C6",19,full_bit_scan
NOV,TKF66-CT4,8.75,6,16,high,"NOV-TK:TKF66-CT4->B6,C6",19,full_bit_scan
NOV,TKF76-J2,9.875,7,16,high,"NOV-TK:TKF76-J2->B7,C6",19,full_bit_scan
Schlumberger,SDI513,6.75,5,13,high,"SLB-SDI:SDI513->B5,13mm",19,full_bit_scan
Schlumberger,XZ516,12.25; 6; 8.75,5,16,high,"SLB-Z:XZ516->B5,16mm",19,full_bit_scan
Taurex,Txd613,7.875; 8.5,6,13,high,"TX:Txd613->B6,13mm",19,full_bit_scan
Baker Hughes,D506,7.875; 8.740158,6,15,high,Baker:D506->C50B6(frac),18,full_bit_scan
Baker Hughes,DD406TH,6.75; 8.5,6,13,high,Baker:DD406TH->C40B6(frac),18,full_bit_scan
Baker Hughes,DD505SX,8.75,5,15,high,Baker:DD505SX->C50B5(frac),18,full_bit_scan
Baker Hughes,DP506,8.75; 9.875,6,15,high,Baker:DP506->C50B6(frac),18,full_bit_scan
Baker Hughes,P507H,8.5; 8.740158,7,15,high,Baker:P507H->C50B7(frac),18,full_bit_scan
Halliburton,HD64s,8.5; 8.75,6,13,high,"HAL:HD64s->B6,C4(frac)",18,full_bit_scan
NOV,TK66-BN1,8.740158,6,16,high,"NOV-TK:TK66-BN1->B6,C6",18,full_bit_scan
NOV,TKC46-F2R,6.125,4,16,high,"NOV-TK:TKC46-F2R->B4,C6",18,full_bit_scan
NOV,TKC53-AA1,6.75,5,13,high,"NOV-TK:TKC53-AA1->B5,C3",18,full_bit_scan
NOV,TKC63-P1,6.259843; 6.75; 8.75,6,13,high,"NOV-TK:TKC63-P1->B6,C3",18,full_bit_scan
Ulterra,U813M,10.625; 9.625,8,13,high,"Ulterra-U:U813M->B8,13mm",18,full_bit_scan
Varel,VION 616,10.625; 11; 12.25; 13.5; 14.75; 8.75; 9.875,6,16,high,"Varel:VION 616->B6,16mm",18,full_bit_scan
Baker Hughes,LC406SD1,6.75,6,13,high,Baker:LC406SD1->C40B6(frac),17,full_bit_scan
Halliburton,HD65KO,8.740158; 8.75,6,15,high,"HAL:HD65KO->B6,C5(frac)",17,full_bit_scan
Halliburton,HD65MKFS,10.625; 12.25; 18.25,6,15,high,"HAL:HD65MKFS->B6,C5(frac)",17,full_bit_scan
Halliburton,HDi85DMHOs,17.5; 17.500001,8,15,high,"HAL:HDi85DMHOs->B8,C5(frac)",17,full_bit_scan
Halliburton,HX64S,6.259843; 6.26,6,13,high,"HAL:HX64S->B6,C4(frac)",17,full_bit_scan
NOV,TK53-06,6.729921; 6.732284; 8.74,5,13,high,"NOV-TK:TK53-06->B5,C3",17,full_bit_scan
NOV,TKC46-F2,6.125,4,16,high,"NOV-TK:TKC46-F2->B4,C6",17,full_bit_scan
NOV,TKC63-AD4,6.75,6,13,high,"NOV-TK:TKC63-AD4->B6,C3",17,full_bit_scan
NOV,TKC66-BQ7,8.75,6,16,high,"NOV-TK:TKC66-BQ7->B6,C6",17,full_bit_scan
NOV,TKC76-F1,10.625; 17.500001; 8.5,7,16,high,"NOV-TK:TKC76-F1->B7,C6",17,full_bit_scan
NOV,TKC76-I1,10.625,7,16,high,"NOV-TK:TKC76-I1->B7,C6",17,full_bit_scan
Schlumberger,BTZ713SM,12.25,7,13,high,"SLB-Z:BTZ713SM->B7,13mm",17,full_bit_scan
Varel,VION-619,12.25; 14.75; 17.5,6,19,high,"Varel:VION-619->B6,19mm",17,full_bit_scan
Baker Hughes,DD306VS,6.259843,6,8,high,Baker:DD306VS->C30B6(frac),16,full_bit_scan
Baker Hughes,DD506VS,10.625; 12.25; 8.5,6,15,high,Baker:DD506VS->C50B6(frac),16,full_bit_scan
Baker Hughes,P406s,6.125; 6.75; 8.75,6,13,high,Baker:P406s->C40B6(frac),16,full_bit_scan
Baker Hughes,TD506KX,8.5,6,15,high,Baker:TD506KX->C50B6(frac),16,full_bit_scan
Halliburton,HDI64DKHF,6.124803; 6.125,6,13,high,"HAL:HDI64DKHF->B6,C4(frac)",16,full_bit_scan
NOV,TK53-07,6.732284,5,13,high,"NOV-TK:TK53-07->B5,C3",16,full_bit_scan
NOV,TK63-N2,7.875,6,13,high,"NOV-TK:TK63-N2->B6,C3",16,full_bit_scan
NOV,TK66-C1,13.5; 6.259843,6,16,high,"NOV-TK:TK66-C1->B6,C6",16,full_bit_scan
NOV,TK76-C6,17.5,7,16,high,"NOV-TK:TK76-C6->B7,C6",16,full_bit_scan
NOV,TKC53-L4,6.259843,5,13,high,"NOV-TK:TKC53-L4->B5,C3",16,full_bit_scan
NOV,TKC66-AI1,9.875,6,16,high,"NOV-TK:TKC66-AI1->B6,C6",16,full_bit_scan
NOV,TKC66-AZ10,8.75,6,16,high,"NOV-TK:TKC66-AZ10->B6,C6",16,full_bit_scan
NOV,TKF63-N1,7.875; 7.88,6,13,high,"NOV-TK:TKF63-N1->B6,C3",16,full_bit_scan
NOV,TKF63-R4,7.875; 8.5,6,13,high,"NOV-TK:TKF63-R4->B6,C3",16,full_bit_scan
NOV,TKF73-H3,8.75,7,13,high,"NOV-TK:TKF73-H3->B7,C3",16,full_bit_scan
Schlumberger,BXT616M,12.25; 13.5; 17.5; 8.5; 8.75,6,16,high,"SLB-BT:BXT616M->B6,16mm",16,full_bit_scan
Schlumberger,BXZ613,6.125; 6.141732; 8.75,6,13,high,"SLB-Z:BXZ613->B6,13mm",16,full_bit_scan
Baker Hughes,DD406TWHX,8.75,6,13,high,Baker:DD406TWHX->C40B6(frac),15,full_bit_scan
Halliburton,GTD64C,8.5; 8.75,6,13,high,"HAL-GTD:GTD64C->B6,C4(frac)",15,full_bit_scan
Halliburton,GTD64DK,6.5,6,13,high,"HAL-GTD:GTD64DK->B6,C4(frac)",15,full_bit_scan
NOV,TKF66-AB1,9.875,6,16,high,"NOV-TK:TKF66-AB1->B6,C6",15,full_bit_scan
NOV,TKF66-S1,7.875,6,16,high,"NOV-TK:TKF66-S1->B6,C6",15,full_bit_scan
Schlumberger,BT613,6.125; 7.875,6,13,high,"SLB-BT:BT613->B6,13mm",15,full_bit_scan
Schlumberger,BTZ616S,9.875,6,16,high,"SLB-Z:BTZ616S->B6,16mm",15,full_bit_scan
Schlumberger,BXTZ713,8.740158; 9.875,7,13,high,"SLB-Z:BXTZ713->B7,13mm",15,full_bit_scan
Schlumberger,SDI611UEPX,6.125,6,11,high,"SLB-SDI:SDI611UEPX->B6,11mm",15,full_bit_scan
Taurex,TSs 616,12.25; 13.5,6,16,high,"TX:TSs 616->B6,16mm",15,full_bit_scan
Ulterra,U616,10.629922; 12.25; 13.5; 14.75; 20; 8.5; 8.75; 9.875,6,16,high,"Ulterra-U:U616->B6,16mm",15,full_bit_scan
Varel,Vion-619,11; 12.25; 14.75; 17.5,6,19,high,"Varel:Vion-619->B6,19mm",15,full_bit_scan
Baker Hughes,DD306WX,6.75,6,8,high,Baker:DD306WX->C30B6(frac),14,full_bit_scan
Baker Hughes,DD507VTX,12.25; 8.5,7,15,high,Baker:DD507VTX->C50B7(frac),14,full_bit_scan
Baker Hughes,P306WHS,6.75,6,8,high,Baker:P306WHS->C30B6(frac),14,full_bit_scan
Baker Hughes,P405WS,6.75; 7.875,5,13,high,Baker:P405WS->C40B5(frac),14,full_bit_scan
Halliburton,HD84DMK,10.625; 8.5,8,13,high,"HAL:HD84DMK->B8,C4(frac)",14,full_bit_scan
N/A,TKC56-G1,9.875,5,16,high,"NOV-TK:TKC56-G1->B5,C6",14,full_bit_scan
NOV,TKC66-A1,6.259843; 9.875,6,16,high,"NOV-TK:TKC66-A1->B6,C6",14,full_bit_scan
NOV,TKC73-D1,6.75,7,13,high,"NOV-TK:TKC73-D1->B7,C3",14,full_bit_scan
NOV,TKC76-U2,8.75,7,16,high,"NOV-TK:TKC76-U2->B7,C6",14,full_bit_scan
NOV,TKF63-N11,7.875,6,13,high,"NOV-TK:TKF63-N11->B6,C3",14,full_bit_scan
Taurex,TXd513,7.875,5,13,high,"TX:TXd513->B5,13mm",14,full_bit_scan
Ulterra,RPS813,9.875,8,13,high,"Ulterra:RPS813->B8,13mm",14,full_bit_scan
Ulterra,U613s,6.75; 7.875,6,13,high,"Ulterra-U:U613s->B6,13mm",14,full_bit_scan
Baker Hughes,D405WG,6,5,13,high,Baker:D405WG->C40B5(frac),13,full_bit_scan
Baker Hughes,D506VTWHX,7.875; 8.5,6,15,high,Baker:D506VTWHX->C50B6(frac),13,full_bit_scan
Baker Hughes,DD406SC2,6.125,6,13,high,Baker:DD406SC2->C40B6(frac),13,full_bit_scan
Baker Hughes,DD406VTX,6; 8.5; 8.75,6,13,high,Baker:DD406VTX->C40B6(frac),13,full_bit_scan
Baker Hughes,DD506,8.5; 8.75,6,15,high,Baker:DD506->C50B6(frac),13,full_bit_scan
Baker Hughes,LC-406TS,6.75,6,13,high,Baker:LC-406TS->C40B6(frac),13,full_bit_scan
Baker Hughes,P505H,6.75,5,15,high,Baker:P505H->C50B5(frac),13,full_bit_scan
Halliburton,HDi64KB,6.125,6,13,high,"HAL:HDi64KB->B6,C4(frac)",13,full_bit_scan
Halliburton,Hxi54s,6.75,5,13,high,"HAL:Hxi54s->B5,C4(frac)",13,full_bit_scan
NOV,TK66-D1,10.629922; 6.259843,6,16,high,"NOV-TK:TK66-D1->B6,C6",13,full_bit_scan
NOV,TKC63-S1,6.259843; 6.75,6,13,high,"NOV-TK:TKC63-S1->B6,C3",13,full_bit_scan
NOV,TKC66 CA1,8.75,6,16,high,"NOV-TK:TKC66 CA1->B6,C6",13,full_bit_scan
NOV,TKC66 CF1,8.75,6,16,high,"NOV-TK:TKC66 CF1->B6,C6",13,full_bit_scan
NOV,TKF53-U4,6.75,5,13,high,"NOV-TK:TKF53-U4->B5,C3",13,full_bit_scan
NOV,TKF63-AE2,8.5; 8.75,6,13,high,"NOV-TK:TKF63-AE2->B6,C3",13,full_bit_scan
NOV,TKF63-R1,8.5,6,13,high,"NOV-TK:TKF63-R1->B6,C3",13,full_bit_scan
NOV,TKF66-L2,9.875,6,16,high,"NOV-TK:TKF66-L2->B6,C6",13,full_bit_scan
NOV,TKF76-U4,8.75,7,16,high,"NOV-TK:TKF76-U4->B7,C6",13,full_bit_scan
Reed Hycalog,TKF63-N3,7.875,6,13,high,"NOV-TK:TKF63-N3->B6,C3",13,full_bit_scan
Schlumberger,BT716SM,10.625; 12.25; 17.5; 8.5; 9.875,7,16,high,"SLB-BT:BT716SM->B7,16mm",13,full_bit_scan
Taurex,TSd614,7.875; 8.5; 8.75,6,14,high,"TX:TSd614->B6,14mm",13,full_bit_scan
Taurex,TXt614,7.875; 9.875,6,14,high,"TX:TXt614->B6,14mm",13,full_bit_scan
Ulterra,XP616-M1,12.25,6,16,high,"XP:XP616-M1->B6,16mm",13,full_bit_scan
Baker Hughes,DD306,6.75; 7.875; 8.5; 8.75,6,8,high,Baker:DD306->C30B6(frac),12,full_bit_scan
Baker Hughes,DD406VHX,6.732284,6,13,high,Baker:DD406VHX->C40B6(frac),12,full_bit_scan
Baker Hughes,TD506KS,12.25; 17.5; 8.5,6,15,high,Baker:TD506KS->C50B6(frac),12,full_bit_scan
Halliburton,GTD65DKH,8.5,6,15,high,"HAL-GTD:GTD65DKH->B6,C5(frac)",12,full_bit_scan
Halliburton,HD74,12.25; 6.75; 8.5,7,13,high,"HAL:HD74->B7,C4(frac)",12,full_bit_scan
Halliburton,HD84MF,12.25,8,13,high,"HAL:HD84MF->B8,C4(frac)",12,full_bit_scan
Halliburton,HDi55s,8.5; 9.5,5,15,high,"HAL:HDi55s->B5,C5(frac)",12,full_bit_scan
Halliburton,HDi65DMKFs,8.5,6,15,high,"HAL:HDi65DMKFs->B6,C5(frac)",12,full_bit_scan
NOV,TK63-B2,7.875,6,13,high,"NOV-TK:TK63-B2->B6,C3",12,full_bit_scan
NOV,TK66-CW1,8.740158,6,16,high,"NOV-TK:TK66-CW1->B6,C6",12,full_bit_scan
NOV,TK73,6,7,13,high,"NOV-TK:TK73->B7,C3",12,full_bit_scan
NOV,TKC66-AD7,8.5; 8.75,6,16,high,"NOV-TK:TKC66-AD7->B6,C6",12,full_bit_scan
NOV,TKC66-CX1,8.740158; 8.75,6,16,high,"NOV-TK:TKC66-CX1->B6,C6",12,full_bit_scan
NOV,TKC66-S1,7.875,6,16,high,"NOV-TK:TKC66-S1->B6,C6",12,full_bit_scan
NOV,TKC73-E3,8.5,7,13,high,"NOV-TK:TKC73-E3->B7,C3",12,full_bit_scan
NOV,TKC76-T1,8.75,7,16,high,"NOV-TK:TKC76-T1->B7,C6",12,full_bit_scan
NOV,TKF66-AU4,8.5; 8.75,6,16,high,"NOV-TK:TKF66-AU4->B6,C6",12,full_bit_scan
NOV,TKF66-O4,7.875,6,16,high,"NOV-TK:TKF66-O4->B6,C6",12,full_bit_scan
NOV,TKF66-T2,12.25,6,16,high,"NOV-TK:TKF66-T2->B6,C6",12,full_bit_scan
Schlumberger,BXT713SM,12.25; 6.75; 8.5,7,13,high,"SLB-BT:BXT713SM->B7,13mm",12,full_bit_scan
Taurex,TST616,12.25,6,16,high,"TX:TST616->B6,16mm",12,full_bit_scan
Taurex,TXx 716,9.625,7,16,high,"TX:TXx 716->B7,16mm",12,full_bit_scan
Ulterra,SPL416,7.875,4,16,high,"Ulterra:SPL416->B4,16mm",12,full_bit_scan
Varel,Vion616,11; 12.25; 17.5; 8.75; 9.875,6,16,high,"Varel:Vion616->B6,16mm",12,full_bit_scan
Baker Hughes,D405W,6,5,13,high,Baker:D405W->C40B5(frac),11,full_bit_scan
Baker Hughes,LC306S,6.75,6,8,high,Baker:LC306S->C30B6(frac),11,full_bit_scan
Baker Hughes,LCD306TS,6.75,6,8,high,Baker:LCD306TS->C30B6(frac),11,full_bit_scan
Baker Hughes,P405HS,6.75,5,13,high,Baker:P405HS->C40B5(frac),11,full_bit_scan
Halliburton,GTD64,6.125; 8.75,6,13,high,"HAL-GTD:GTD64->B6,C4(frac)",11,full_bit_scan
Halliburton,GTD64DMHEO,8.5,6,13,high,"HAL-GTD:GTD64DMHEO->B6,C4(frac)",11,full_bit_scan
Halliburton,HD65MFS,10.625; 12.25,6,15,high,"HAL:HD65MFS->B6,C5(frac)",11,full_bit_scan
Halliburton,HDi64,6.125; 6.75,6,13,high,"HAL:HDi64->B6,C4(frac)",11,full_bit_scan
Halliburton,XHi54s,6.75,5,13,high,"HAL:XHi54s->B5,C4(frac)",11,full_bit_scan
NOV,TK66-C01,8.75,6,16,high,"NOV-TK:TK66-C01->B6,C6",11,full_bit_scan
NOV,TK66-CO1,8.75,6,16,high,"NOV-TK:TK66-CO1->B6,C6",11,full_bit_scan
NOV,TK66-F1,6.25; 6.259843; 6.26,6,16,high,"NOV-TK:TK66-F1->B6,C6",11,full_bit_scan
NOV,TKC56-G5,9.875,5,16,high,"NOV-TK:TKC56-G5->B5,C6",11,full_bit_scan
NOV,TKF63-AK2,6.125,6,13,high,"NOV-TK:TKF63-AK2->B6,C3",11,full_bit_scan
Schlumberger,BT513M,6; 6.5; 9.875,5,13,high,"SLB-BT:BT513M->B5,13mm",11,full_bit_scan
Taurex,TST716,11; 12.25; 14.75; 17.5,7,16,high,"TX:TST716->B7,16mm",11,full_bit_scan
